0.000000000000000000e+00 1.547055030597406858e-02
1.052631578947368363e-01 2.657538895954157654e-02
2.105263157894736725e-01 3.238385472589275921e-02
3.157894736842105088e-01 3.167357456952753919e-02
4.210526315789473450e-01 4.356955401059985772e-02
5.263157894736841813e-01 4.312780702397383398e-02
6.315789473684210176e-01 2.913800823317826139e-02
7.368421052631578538e-01 6.259790123277747531e-02
8.421052631578946901e-01 6.448840873079249303e-02
9.473684210526315264e-01 6.513813518591252127e-02
1.052631578947368363e+00 6.160168757749674012e-02
1.157894736842105310e+00 2.042519199243874262e+00
1.263157894736842035e+00 1.709956966019911562e+01
1.368421052631578760e+00 8.373371549506044786e+00
1.473684210526315708e+00 8.477637233370181491e+00
1.578947368421052655e+00 1.451632151756644118e-01
1.684210526315789380e+00 2.547759425505862277e-02
1.789473684210526105e+00 2.244379725556328725e-02
1.894736842105263053e+00 2.227403717596165150e-02
2.000000000000000000e+00 2.213385894959046807e-02
